lat,lon,pH_pH_r_0_cm_p,pH_pH_r_100_cm_p,pH_pH_r_150_cm_p,pH_pH_r_15_cm_p,pH_pH_r_30_cm_p,pH_pH_r_5_cm_p,pH_pH_r_60_cm_p
25.9963889,-97.5713889,813,822,832,816,819,813,818
26.1869444,-98.3816667,807,817,816,812,812,805,808
27.64500046,-98.19999695,772,811,820,768,797,782,800
28.29999924,-99.3941667,692,761,776,703,703,702,748
28.45000076,-98.375,778,798,808,788,789,778,792
29.2691667,-103.3016667,714,-9999,-9999,714,730,730,731
29.5569444,-97.6838889,632,631,611,632,615,624,624
29.6091667,-100.4730556,800,-9999,-9999,803,800,795,-9999
29.6280556,-99.1805556,786,-9999,-9999,772,798,784,786
29.7561111,-96.4366667,585,603,643,593,602,595,606
29.8605556,-98.50749969,778,-9999,-9999,774,772,780,-9999
29.9344444,-98.0802778,740,-9999,-9999,757,754,767,756
30.0483333,-103.4902778,791,815,818,795,798,794,803
30.0647222,-97.9505556,765,-9999,-9999,755,763,756,777
30.0741667,-104.4538889,769,808,-9999,772,775,760,797
30.1063889,-95.6536111,541,544,556,562,562,543,540
30.1136111,-97.2616667,645,640,589,634,635,635,638
30.2086111,-97.8958333,771,-9999,-9999,778,778,779,766
30.2358333,-95.4827778,510,506,508,507,511,492,509
30.26250076,-98.6288889,759,-9999,-9999,758,754,762,754
30.2713889,-100.5683333,772,-9999,-9999,775,783,762,806
30.3305556,-97.9397222,782,-9999,-9999,779,784,783,-9999
30.3716667,-97.8783333,794,-9999,-9999,790,795,789,769
30.4444444,-99.7972222,789,-9999,-9999,788,791,795,802
30.4586111,-94.3869444,436,469,467,474,461,440,477
30.4608333,-102.8799973,805,-9999,-9999,804,812,807,805
30.4816667,-101.8066667,820,822,817,816,818,819,817
30.5033333,-98.4194444,726,-9999,-9999,731,733,723,-9999
30.5511111,-96.2416667,600,666,-9999,579,558,602,558
30.5958333,-103.9230556,714,-9999,-9999,706,-9999,714,-9999
30.5991667,-104.1330556,693,-9999,-9999,691,603,696,618
30.61750031,-95.5322222,579,571,580,573,578,566,568
30.6283333,-93.8227778,500,470,457,493,483,488,480
30.7397222,-94.4311111,536,510,502,535,524,533,532
30.8216667,-99.2283333,673,710,-9999,660,672,663,670
30.9861111,-101.1575012,806,805,804,797,801,804,808
31.0530556,-98.4994444,713,-9999,-9999,706,718,711,-9999
31.3091667,-94.82499695,550,542,540,540,539,550,528
31.3277778,-95.4094444,540,542,561,543,509,534,506
31.32999992,-97.47000122,778,800,-9999,780,795,785,788
31.3702778,-111.0144444,758,759,768,782,773,766,760
31.4416667,-94.0902778,545,420,421,545,454,545,454
31.4486111,-110.2844444,715,-9999,-9999,719,714,709,697
31.46500015,-100.5083333,817,816,-9999,807,812,804,811
31.4788889,-109.9616667,715,-9999,-9999,720,722,706,-9999
